gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,64,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2347,1,7.1046,flydsl_hgemm_abf16_wbf16_bf16_t64x32x64x8_ks1_w4x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,113.35,1900.24
gfx950,256,80,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2991,1,7.2605,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,138.65,1891.03
gfx950,256,96,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2819,1,7.7233,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,156.4,1807.41
gfx950,256,112,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2742,1,7.4108,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,190.17,1914.58
gfx950,256,128,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1360,1,8.1729,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,197.07,1764.11
gfx950,256,144,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1217,1,8.9049,flydsl_hgemm_abf16_wbf16_bf16_t48x64x64x4_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,203.48,1644.86
gfx950,256,160,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2520,1,8.5535,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x4_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,235.37,1739.25
gfx950,256,176,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2087,1,8.5898,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x4_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,257.82,1758.6
gfx950,256,192,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2087,1,8.7163,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x4_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,277.17,1759.4
gfx950,256,208,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2233,1,9.0149,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w2x2x1_bias0_ktail0_gm4_pft_gfx950,0.0,290.32,1726.56
